modelo,marca,genero,material_montura,forma,tipo_montura,color,talla,ancho_lente,ancho_puente,largo_varilla,peso,gama_marca,segmento_comercial,pais_origen,precio_min,precio_max,categoria_material,gama_material,peso_relativo,aspect_ratio,area_aprox,densidad,ancho_total,montura_completa,es_unisex,color_basico,material_eco,precio_medio_marca,precio,log_precio
FT6025-B 096 50,Tom Ford,Unisex,Pasta,Cuadradas,Montura completa,verde,M,50.0,22.0,145.0,330.0,lujo,moda_lujo,Estados Unidos,260.0,520.0,acetato,media,ligero,0.3448275862068966,1100.0,0.3,122.0,1,1,0,0,390.0,229.9,5.44198471636045
Quest SC 3.0 NAO31608 48,Nano Vista,Niños,Pasta,Cuadradas,Montura completa,negro,XS,48.0,14.0,133.0,70.0,gama_media,marca_blanca_OEM,España/Italia,40.0,100.0,acetato,media,ligero,0.3609022556390977,672.0,0.10416666666666667,110.0,1,0,1,0,70.0,93.99,4.553771622902091
GG1847O 001 53,Gucci,Mujer,Pasta,Rectangulares,Montura completa,negro,M,53.0,18.0,140.0,190.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.37857142857142856,954.0,0.19916142557651992,124.0,1,0,1,0,390.0,259.9,5.564137192142683
GG0093O 002 53,Gucci,Mujer,Pasta,Cat Eye,Montura completa,marron,M,53.0,17.0,140.0,200.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.37857142857142856,901.0,0.22197558268590456,123.0,1,0,1,0,390.0,189.9,5.251749730731702
0VO5603 2990 52,Vogue,Mujer,Nylon,Cat Eye,Montura completa,marron,S,52.0,16.0,140.0,95.0,gama_media,marca_blanca_OEM,Reino Unido / USA,50.0,120.0,poliamida,media,ligero,0.37142857142857144,832.0,0.1141826923076923,120.0,1,0,1,0,85.0,69.99,4.262539022051294
0MU 05XV 1AB1O1 54,Miu Miu,Mujer,Acetato,Cuadradas,Montura completa,negro,M,54.0,19.0,140.0,325.0,lujo,moda_lujo,Italia,180.0,360.0,acetato,media,ligero,0.38571428571428573,1026.0,0.31676413255360625,127.0,1,0,1,0,270.0,184.9,5.225208894727398
Oliver Peoples Finley Vintage 0OV5397U 1669,Oliver Peoples,Unisex,Acetato,Cuadradas,Montura completa,transparente,M,51.0,19.0,145.0,175.0,premium,moda_premium,Estados Unidos,180.0,320.0,acetato,media,ligero,0.35172413793103446,969.0,0.18059855521155832,121.0,1,1,0,0,250.0,299.9,5.706777983635999
2831 100 21 51,Mexx,Mujer,Metal,Redondas,Montura completa,morado,M,51.0,21.0,135.0,130.0,gama_media,moda_casual,Países Bajos,60.0,130.0,metal,media_alta,medio,0.37777777777777777,1071.0,0.12138188608776844,123.0,1,0,0,0,95.0,129.9,4.874433672915854
GG1846O 003 54,Gucci,Mujer,Pasta,Cuadradas,Montura completa,negro,M,54.0,18.0,140.0,195.0,lujo,moda_lujo,Italia,260.0,520.0,acetato,media,ligero,0.38571428571428573,972.0,0.2006172839506173,126.0,1,0,1,0,390.0,232.9,5.454893673590133
0AX3103 8078 55,Armani Exchange,Hombre,Pasta,Rectangulares,Montura completa,negro,L,55.0,16.0,145.0,75.0,gama_media,moda_premium,Italia,120.0,240.0,acetato,media,ligero,0.3793103448275862,880.0,0.08522727272727272,126.0,1,0,1,0,180.0,66.99,4.219360635538369
